begin,ticker,open,high,low,close,volume,date,nn_news_sum,nn_news_mean,nn_news_max,nn_news_count,sentiment_mean,sentiment_sum,sentiment_count,sentiment_positive_count,sentiment_negative_count,sentiment_neutral_count,source_file,export_timestamp
2025-05-03,AFLT,67.23,68.02,66.88,67.56,2680110.0,2025-05-03,0.37294678464438136,0.010079642828226524,0.05669124363569463,37.0,0.0780736189259527,2.88872390026025,37.0,12.0,1.0,24.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-04,AFLT,67.5,68.94,67.5,68.27,3805570.0,2025-05-04,0.34782002220588426,0.009661667283496786,0.05289480064335415,36.0,0.07484113067134109,2.6942807041682793,36.0,12.0,1.0,23.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-05,AFLT,68.38,68.65,66.7,68.04,17408080.0,2025-05-05,0.324527555835155,0.009014654328754305,0.04935259408101177,36.0,0.0698292440402785,2.513852785450026,36.0,12.0,1.0,23.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-06,AFLT,68.05,69.77,67.29,68.86,17008330.0,2025-05-06,0.302794916257003,0.00841096989602786,0.046047598495508144,36.0,0.06515298846365482,2.3455075846915734,36.0,12.0,1.0,23.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-07,AFLT,68.73,70.34,68.72,69.83,18937080.0,2025-05-07,0.28251764653740863,0.007847712403816907,0.042963928577349764,36.0,0.060789887733806974,2.188435958417051,36.0,12.0,1.0,23.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-08,AFLT,69.83,70.85,69.8,69.95,9651870.0,2025-05-08,0.26300921496108237,0.007735565145914188,0.04008676280869838,34.0,0.06000848265484368,2.040288410264685,34.0,12.0,1.0,21.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-16,ALRS,48.8,50.19,48.1,49.48,32774570.0,2025-04-16,1.6071988905868109,0.026347522796505096,0.2141665619538483,61.0,0.1794240371703186,10.944866267389434,61.0,16.0,3.0,42.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-17,ALRS,49.47,52.46,49.4,52.33,50162540.0,2025-04-17,1.49878951580505,0.02584119854836293,0.1998244679869521,58.0,0.1760219758269352,10.209274597962242,58.0,15.0,2.0,41.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-18,ALRS,51.95,52.24,50.33,50.4,28786670.0,2025-04-18,1.3984200656155887,0.024110690786475666,0.18644282114811692,58.0,0.16423431068202501,9.52559001955745,58.0,15.0,2.0,41.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-21,ALRS,50.82,51.59,50.64,51.06,9057910.0,2025-04-21,1.135790340584338,0.019926146326041016,0.151438628260975,57.0,0.1357261421905572,7.73639010486176,57.0,15.0,2.0,40.0,api_response_20251004_205609.json,2025-10-04 21:30:00
